Description	ID	Physalia	Nanomia	Agalma	Abylopsis	Craseoa	Hydra	Nematostella
0	0	6	5	2	8	5	3	5
1	1	6	5	4	4	5	4	5
2	2	1	9	6	9	3	1	2
3	3	2	3	7	4	7	5	4
4	4	6	7	5	4	3	3	4
5	5	1	2	2	22	3	1	1
6	6	2	4	6	4	8	4	3
7	7	7	3	3	4	6	3	3
8	8	7	3	4	1	4	6	5
9	9	6	4	4	6	6	2	2
10	10	5	6	6	4	4	2	3
11	11	8	7	3	6	4	1	1
12	12	0	2	8	3	3	5	6
13	13	6	3	3	3	8	3	3
14	14	8	3	5	4	4	2	3
15	15	2	5	5	3	6	5	1
16	16	4	3	3	3	5	3	2
17	17	2	2	6	5	7	2	1
18	18	4	4	4	5	6	3	2
19	19	1	2	1	2	10	3	0
20	20	3	7	7	4	5	1	1
21	21	1	7	6	6	6	1	1
22	22	4	3	3	3	3	3	3
23	23	4	3	6	3	4	7	1
24	24	4	4	4	3	4	3	6
25	25	3	5	3	6	6	2	2
26	26	9	3	4	2	1	4	4
27	27	5	4	6	0	3	1	2
28	28	6	3	3	4	5	3	3
29	29	2	5	6	5	7	1	1
30	30	3	4	4	2	6	4	4
31	31	0	3	4	4	5	3	2
32	32	4	3	3	11	5	1	0
33	33	8	3	3	3	3	3	4
34	34	2	7	6	3	5	2	2
35	35	5	3	2	5	7	2	2
36	36	4	4	3	4	5	4	3
37	37	2	5	5	5	3	3	3
38	38	3	4	4	5	5	3	2
39	39	4	5	7	3	5	1	1
40	40	3	5	5	3	4	3	3
41	41	2	5	6	6	3	1	3
42	42	4	3	5	3	6	2	1
43	43	1	6	4	3	7	1	3
44	44	6	4	5	3	3	2	2
45	45	6	3	3	3	5	2	2
46	46	5	1	3	4	4	3	5
47	47	3	8	4	3	1	4	2
48	48	4	2	3	4	3	2	3
49	49	5	3	3	2	3	3	4
50	50	2	5	10	1	2	4	0
51	51	2	3	7	2	5	2	3
52	52	2	3	4	5	3	1	6
53	53	3	4	4	3	3	3	4
54	54	4	5	5	6	2	2	0
55	55	2	4	3	3	4	3	3
56	56	2	1	10	2	4	1	4
57	57	3	3	3	5	5	3	2
58	58	2	4	4	3	4	5	2
59	59	4	3	3	3	4	3	4
60	60	5	4	2	3	3	3	4
61	61	2	5	7	2	6	1	1
62	62	3	6	3	0	2	3	6
63	63	3	4	6	4	3	1	2
64	64	2	2	5	2	3	5	4
65	65	1	2	1	1	3	14	1
66	66	3	3	6	0	2	5	4
67	67	1	3	1	2	2	6	3
68	68	1	3	3	1	1	3	10
69	69	4	3	3	2	3	4	3
70	70	1	4	3	5	7	0	1
71	71	2	2	7	3	3	3	2
72	72	1	4	3	1	4	2	5
73	73	2	3	3	6	7	1	0
74	74	1	3	4	1	0	6	6
75	75	5	2	3	3	5	2	0
76	76	2	4	2	3	2	2	7
