model_id,gene,isoform
241034,DN5656_c0_g1,1
241035,DN5656_c0_g1,2
241036,DN5625_c1_g1,1
241037,DN5655_c0_g1,1
241038,DN5655_c0_g1,2
241039,DN5680_c0_g1,1
241040,DN5691_c0_g1,1
241041,DN5691_c0_g1,2
241042,DN5627_c0_g1,1
241043,DN5636_c0_g1,1
241044,DN5636_c0_g2,1
241045,DN5633_c0_g1,1
241046,DN5633_c0_g2,1
241047,DN5633_c0_g2,2
241048,DN5693_c0_g1,1
241049,DN5693_c0_g1,2
241050,DN5693_c0_g1,3
241051,DN5603_c0_g1,1
241052,DN5610_c0_g1,1
241053,DN5610_c0_g1,2
241054,DN5661_c0_g1,1
241055,DN5607_c0_g1,1
241056,DN5607_c0_g2,1
241057,DN5664_c0_g1,1
241058,DN5664_c0_g2,1
241059,DN5668_c0_g1,1
241060,DN5668_c0_g2,1
241061,DN5613_c0_g1,1
241062,DN5651_c0_g1,1
241063,DN5651_c0_g1,2
241064,DN5692_c0_g1,1
241065,DN5692_c0_g1,2
241066,DN5692_c0_g1,3
241067,DN5692_c0_g1,4
241068,DN5612_c0_g1,1
241069,DN5620_c0_g1,1
241070,DN5665_c0_g1,1
241071,DN5665_c0_g1,2
241072,DN5608_c0_g1,1
241073,DN5608_c0_g1,2
241074,DN5608_c0_g1,3
241075,DN5697_c0_g1,1
241076,DN5697_c0_g1,2
241077,DN5697_c0_g1,3
241078,DN5697_c0_g1,4
241079,DN5697_c0_g1,5
241080,DN5600_c0_g1,1
241081,DN5600_c0_g1,2
241082,DN5600_c0_g1,3
241083,DN5670_c0_g1,1
241084,DN5643_c0_g1,1
241085,DN5672_c0_g1,1
241086,DN5695_c0_g1,1
241087,DN5647_c0_g1,1
241088,DN5647_c0_g2,1
241089,DN5690_c0_g1,1
241090,DN5690_c0_g2,1
241091,DN5650_c0_g1,1
241092,DN5650_c0_g1,2
241093,DN5685_c0_g1,1
241094,DN5685_c0_g1,2
241095,DN5685_c0_g1,3
241096,DN5634_c0_g1,1
241097,DN5634_c0_g2,1
241098,DN5649_c0_g1,1
241099,DN5649_c0_g1,2
241100,DN5649_c0_g1,3
241101,DN5649_c0_g2,1
241102,DN5604_c0_g1,1
241103,DN5617_c0_g1,1
241104,DN5617_c0_g2,1
241105,DN5618_c0_g1,1
241106,DN5618_c0_g2,1
241107,DN5645_c0_g1,1
241108,DN5679_c0_g1,1
241109,DN5648_c0_g1,1
241110,DN5677_c0_g1,1
241111,DN5677_c0_g1,2
241112,DN5641_c0_g1,1
241113,DN5641_c1_g1,1
241114,DN5632_c0_g1,1
241115,DN5696_c0_g1,1
241116,DN5640_c0_g1,1
241117,DN5640_c0_g2,1
241118,DN5624_c0_g1,1
241119,DN5660_c0_g1,1
241120,DN5657_c0_g1,1
241121,DN5671_c0_g1,1
241122,DN5671_c0_g1,2
241123,DN5671_c1_g1,1
241124,DN5619_c0_g1,1
241125,DN5601_c0_g1,1
241126,DN5601_c0_g1,2
241127,DN5683_c0_g1,1
241128,DN5683_c0_g1,2
241129,DN5682_c0_g1,1
241130,DN5646_c0_g1,1
241131,DN5646_c0_g2,1
241132,DN5658_c0_g1,1
241133,DN5658_c0_g1,2
241134,DN5678_c0_g1,1
241135,DN5678_c0_g2,1
241136,DN5678_c0_g2,2
241137,DN5642_c0_g1,1
241138,DN5642_c1_g1,1
241139,DN5638_c0_g1,1
241140,DN5662_c0_g1,1
241141,DN5662_c0_g1,2
241142,DN5662_c0_g1,3
241143,DN5681_c0_g1,1
241144,DN5681_c0_g1,2
241145,DN5681_c0_g1,3
241146,DN5659_c0_g1,1
241147,DN5659_c0_g1,2
241148,DN5622_c0_g1,1
241149,DN5622_c0_g1,2
241150,DN5622_c0_g2,1
241151,DN5652_c0_g1,1
241152,DN5652_c0_g2,1
241153,DN5698_c0_g1,1
241154,DN5637_c0_g1,1
241155,DN5687_c0_g1,1
241156,DN5684_c0_g1,1
241157,DN5684_c0_g1,2
241158,DN5674_c0_g1,1
