model_id,gene,isoform
3118917,DN21455_c0_g1,1
3118918,DN21442_c0_g1,1
3118919,DN21442_c0_g2,1
3118920,DN21422_c0_g1,1
3118921,DN21422_c0_g2,1
3118922,DN21478_c0_g1,1
3118923,DN21477_c0_g1,1
3118924,DN21477_c0_g2,1
3118925,DN21432_c0_g1,1
3118926,DN21432_c0_g2,1
3118927,DN21482_c0_g1,1
3118928,DN21438_c0_g1,1
3118929,DN21438_c0_g2,1
3118930,DN21473_c0_g1,1
3118931,DN21434_c0_g1,1
3118932,DN21463_c0_g1,1
3118933,DN21463_c0_g2,1
3118934,DN21433_c0_g1,1
3118935,DN21483_c0_g1,1
3118936,DN21483_c0_g2,1
3118937,DN21419_c0_g1,1
3118938,DN21454_c0_g1,1
3118939,DN21498_c0_g1,1
3118940,DN21498_c0_g2,1
3118941,DN21405_c0_g1,1
3118942,DN21405_c0_g2,1
3118943,DN21461_c0_g1,1
3118944,DN21435_c0_g1,1
3118945,DN21441_c0_g1,1
3118946,DN21457_c0_g1,1
3118947,DN21481_c0_g1,1
3118948,DN21443_c0_g1,1
3118949,DN21414_c0_g1,1
3118950,DN21487_c0_g1,1
3118951,DN21487_c0_g2,1
3118952,DN21499_c0_g1,1
3118953,DN21421_c0_g1,1
3118954,DN21421_c0_g2,1
3118955,DN21437_c0_g1,1
3118956,DN21444_c0_g1,1
3118957,DN21436_c0_g1,1
3118958,DN21480_c0_g1,1
3118959,DN21424_c0_g1,1
3118960,DN21464_c0_g1,1
3118961,DN21464_c0_g2,1
3118962,DN21412_c0_g1,1
3118963,DN21469_c0_g1,1
3118964,DN21439_c0_g1,1
3118965,DN21439_c0_g2,1
3118966,DN21416_c0_g1,1
3118967,DN21416_c0_g2,1
3118968,DN21445_c0_g1,1
3118969,DN21459_c0_g1,1
3118970,DN21465_c0_g1,1
3118971,DN21451_c0_g1,1
3118972,DN21426_c0_g1,1
3118973,DN21409_c0_g1,1
3118974,DN21400_c0_g1,1
3118975,DN21491_c0_g1,1
3118976,DN21401_c0_g1,1
3118977,DN21467_c0_g1,1
3118978,DN21415_c0_g1,1
3118979,DN21474_c0_g1,1
3118980,DN21479_c0_g1,1
3118981,DN21406_c0_g1,1
3118982,DN21406_c0_g2,1
3118983,DN21493_c0_g1,1
3118984,DN21493_c0_g2,1
3118985,DN21428_c0_g1,1
3118986,DN21462_c0_g1,1
3118987,DN21462_c0_g2,1
3118988,DN21488_c0_g1,1
3118989,DN21408_c0_g1,1
3118990,DN21408_c0_g2,1
3118991,DN21447_c0_g1,1
3118992,DN21427_c0_g1,1
3118993,DN21496_c0_g1,1
3118994,DN21450_c0_g1,1
3118995,DN21407_c0_g1,1
3118996,DN21486_c0_g1,1
3118997,DN21449_c0_g1,1
3118998,DN21449_c0_g2,1
3118999,DN21446_c0_g1,1
3119000,DN21404_c0_g1,1
3119001,DN21471_c0_g1,1
3119002,DN21471_c0_g2,1
3119003,DN21440_c0_g1,1
3119004,DN21402_c0_g1,1
3119005,DN21429_c0_g1,1
3119006,DN21429_c0_g2,1
3119007,DN21490_c0_g1,1
3119008,DN21490_c0_g2,1
3119009,DN21468_c0_g1,1
3119010,DN21468_c0_g2,1
3119011,DN21466_c0_g1,1
3119012,DN21492_c0_g1,1
3119013,DN21492_c0_g2,1
3119014,DN21495_c0_g1,1
3119015,DN21431_c0_g1,1
3119016,DN21431_c0_g2,1
3119017,DN21417_c0_g1,1
3119018,DN21417_c0_g2,1
3119019,DN21430_c0_g1,1
3119020,DN21430_c0_g2,1
3119021,DN21423_c0_g1,1
3119022,DN21411_c0_g1,1
3119023,DN21448_c0_g1,1
3119024,DN21448_c0_g2,1
3119025,DN21410_c0_g1,1
3119026,DN21460_c0_g1,1
3119027,DN21470_c0_g1,1
3119028,DN21484_c0_g1,1
3119029,DN21458_c0_g1,1
3119030,DN21472_c0_g1,1
3119031,DN21485_c0_g1,1
3119032,DN21476_c0_g1,1
3119033,DN21453_c0_g1,1
3119034,DN21497_c0_g1,1
3119035,DN21418_c0_g1,1
3119036,DN21418_c0_g2,1
3119037,DN21475_c0_g1,1
3119038,DN21475_c0_g2,1
3119039,DN5656_c0_g1,1
3119040,DN5656_c0_g2,1
3119041,DN5625_c0_g1,1
3119042,DN5625_c0_g2,1
3119043,DN5625_c1_g1,1
3119044,DN5625_c1_g2,1
3119045,DN5680_c0_g1,1
3119046,DN5627_c0_g1,1
3119047,DN5636_c0_g1,1
3119048,DN5603_c0_g1,1
3119049,DN5603_c0_g1,2
3119050,DN5610_c0_g1,1
3119051,DN5676_c0_g1,1
3119052,DN5676_c0_g1,2
3119053,DN5661_c0_g1,1
3119054,DN5630_c0_g1,1
3119055,DN5630_c0_g2,1
3119056,DN5630_c0_g3,1
3119057,DN5613_c0_g1,1
3119058,DN5644_c0_g1,1
3119059,DN5644_c0_g2,1
3119060,DN5614_c0_g1,1
3119061,DN5614_c0_g2,1
3119062,DN5651_c0_g1,1
3119063,DN5669_c0_g1,1
3119064,DN5692_c0_g1,1
3119065,DN5692_c0_g2,1
3119066,DN5692_c0_g3,1
3119067,DN5612_c0_g1,1
3119068,DN5612_c0_g2,1
3119069,DN5620_c0_g1,1
3119070,DN5654_c0_g1,1
3119071,DN5654_c0_g2,1
3119072,DN5665_c0_g1,1
3119073,DN5665_c0_g1,2
3119074,DN5608_c0_g1,1
3119075,DN5621_c0_g1,1
3119076,DN5621_c0_g2,1
3119077,DN5600_c0_g1,1
3119078,DN5600_c0_g2,1
3119079,DN5643_c0_g1,1
3119080,DN5643_c0_g2,1
3119081,DN5672_c0_g1,1
3119082,DN5695_c0_g1,1
3119083,DN5647_c0_g1,1
3119084,DN5647_c0_g2,1
3119085,DN5690_c0_g1,1
3119086,DN5690_c0_g2,1
3119087,DN5650_c0_g1,1
3119088,DN5685_c0_g1,1
3119089,DN5634_c0_g1,1
3119090,DN5649_c0_g1,1
3119091,DN5617_c0_g1,1
3119092,DN5617_c0_g2,1
3119093,DN5618_c0_g1,1
3119094,DN5645_c0_g1,1
3119095,DN5679_c0_g1,1
3119096,DN5679_c0_g2,1
3119097,DN5648_c0_g1,1
3119098,DN5641_c0_g1,1
3119099,DN5632_c0_g1,1
3119100,DN5632_c0_g2,1
3119101,DN5640_c0_g1,1
3119102,DN5624_c0_g1,1
3119103,DN5660_c0_g1,1
3119104,DN5660_c0_g1,2
3119105,DN5619_c0_g1,1
3119106,DN5619_c0_g2,1
3119107,DN5601_c0_g1,1
3119108,DN5601_c0_g2,1
3119109,DN5683_c0_g1,1
3119110,DN5682_c0_g1,1
3119111,DN5646_c0_g1,1
3119112,DN5678_c0_g1,1
3119113,DN5678_c0_g2,1
3119114,DN5606_c0_g1,1
3119115,DN5663_c0_g1,1
3119116,DN5663_c0_g2,1
3119117,DN5638_c0_g1,1
3119118,DN5638_c0_g2,1
3119119,DN5638_c0_g3,1
3119120,DN5681_c0_g1,1
3119121,DN5681_c0_g2,1
3119122,DN5659_c0_g1,1
3119123,DN5652_c0_g1,1
3119124,DN5698_c0_g1,1
3119125,DN5698_c0_g2,1
3119126,DN5637_c0_g1,1
3119127,DN5687_c0_g1,1
3119128,DN5616_c0_g1,1
3119129,DN5616_c0_g2,1
3119130,DN5639_c0_g1,1
3119131,DN5639_c0_g2,1
3119132,DN5674_c0_g1,1
3119133,DN5699_c0_g1,1
3119134,DN5605_c0_g1,1
3119135,DN5605_c0_g1,2
3119136,DN5635_c0_g1,1
3119137,DN5635_c0_g2,1
3119138,DN5686_c0_g1,1
3119139,DN5686_c0_g1,2
3119140,DN5611_c0_g1,1
3119141,DN5623_c0_g1,1
3119142,DN5623_c0_g2,1
3119143,DN5689_c0_g1,1
3119144,DN5689_c0_g2,1
3119145,DN5631_c0_g1,1
3119146,DN5626_c0_g1,1
3119147,DN5626_c0_g2,1
3119148,DN5694_c0_g1,1
3119149,DN37817_c0_g1,1
3119150,DN37817_c0_g2,1
3119151,DN37808_c0_g1,1
3119152,DN37873_c0_g1,1
3119153,DN37834_c0_g1,1
3119154,DN37859_c0_g1,1
3119155,DN37844_c0_g1,1
3119156,DN37831_c0_g1,1
3119157,DN37881_c0_g1,1
3119158,DN37881_c0_g2,1
3119159,DN37854_c0_g1,1
3119160,DN37822_c0_g1,1
3119161,DN37811_c0_g1,1
3119162,DN37811_c0_g2,1
3119163,DN37887_c0_g1,1
3119164,DN37886_c0_g1,1
3119165,DN37870_c0_g1,1
3119166,DN37813_c0_g1,1
3119167,DN37838_c0_g1,1
3119168,DN37888_c0_g1,1
3119169,DN37876_c0_g1,1
3119170,DN37876_c0_g2,1
3119171,DN37809_c0_g1,1
3119172,DN37802_c0_g1,1
3119173,DN37884_c0_g1,1
3119174,DN37818_c0_g1,1
3119175,DN37868_c0_g1,1
3119176,DN37853_c0_g1,1
3119177,DN37855_c0_g1,1
