	/gpfs/scratch/aguang/treeinform/ms_treeinform/data/revisions/trinity/data/SRX288276.bam	/gpfs/scratch/aguang/treeinform/ms_treeinform/data/revisions/trinity/data/SRX288285.bam	/gpfs/scratch/aguang/treeinform/ms_treeinform/data/revisions/trinity/data/SRX288430.bam	/gpfs/scratch/aguang/treeinform/ms_treeinform/data/revisions/trinity/data/SRX288431.bam	/gpfs/scratch/aguang/treeinform/ms_treeinform/data/revisions/trinity/data/SRX288432.bam
Cluster-0.0	0	0	0	0	190
Cluster-1.0	0	0	0	0	99
Cluster-2.0	0	0	0	0	18
Cluster-3.0	0	0	0	0	196
Cluster-3.1	0	0	0	0	743
Cluster-4.0	0	0	0	0	563
Cluster-5.0	0	0	0	0	50
Cluster-6.0	0	0	0	0	2290
Cluster-7.0	0	0	0	0	32
Cluster-7.1	0	0	0	0	62
Cluster-7.2	0	0	0	0	785
Cluster-8.0	0	1136	9	0	0
Cluster-9.0	0	1359	0	0	75
Cluster-10.0	54	516	378	154	129
Cluster-10.1	296	1022	394	8	2760
Cluster-10.2	10	197	0	0	26
Cluster-10.3	25	0	0	0	0
Cluster-10.4	24	40	40	67	23
Cluster-10.5	0	0	427	0	0
Cluster-10.6	0	0	44	0	0
Cluster-10.7	0	0	0	0	29
Cluster-11.0	3	215	355	330	643
Cluster-11.1	369	181	0	0	0
Cluster-11.2	415	0	0	0	0
Cluster-12.0	153	0	0	0	0
Cluster-13.0	41	63979	267	12	180
Cluster-14.0	325	0	0	0	0
Cluster-15.0	65	0	0	0	0
Cluster-16.0	321	622	429	149	1129
Cluster-16.1	0	582	0	0	0
Cluster-16.2	0	0	534	0	0
Cluster-17.0	62	0	0	0	0
Cluster-18.0	43	53	25	117	0
Cluster-19.0	25	1292	24	0	313
Cluster-19.1	0	1167	0	0	0
Cluster-20.0	12	9	32	130	17
Cluster-20.1	20	14	0	0	22
Cluster-20.2	0	0	0	0	48
Cluster-21.0	935	253	132	70	80
