Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1521744687.269	   694.148	0	5593796	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 2.fa
1	:	1521744687.246	   702.237	0	4870577	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 1.fa
3	:	1521744687.270	   718.424	0	5235907	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 3.fa
8	:	1521744687.278	   728.369	0	6783590	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 8.fa
7	:	1521744687.277	   772.044	0	5042749	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 7.fa
4	:	1521744687.272	   789.671	0	5565952	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 4.fa
6	:	1521744687.275	   802.482	0	3903806	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 6.fa
5	:	1521744687.273	   813.467	0	5746323	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 5.fa
9	:	1521745381.426	   717.929	0	12238841	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 9.fa
11	:	1521745405.715	   722.106	0	9368882	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 11.fa
12	:	1521745415.670	   726.279	0	4851839	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 12.fa
10	:	1521745389.508	   761.845	0	9057458	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 10.fa
14	:	1521745476.965	   704.753	0	3915397	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 14.fa
