model_id,gene,isoform
240426,DN5656_c0_g1,1
240427,DN5656_c0_g2,1
240428,DN5625_c0_g1,1
240429,DN5655_c0_g1,1
240430,DN5655_c0_g1,2
240431,DN5655_c0_g1,3
240432,DN5680_c0_g1,1
240433,DN5680_c0_g1,2
240434,DN5627_c0_g1,1
240435,DN5627_c0_g1,2
240436,DN5636_c0_g1,1
240437,DN5653_c0_g1,1
240438,DN5633_c0_g1,1
240439,DN5633_c0_g2,1
240440,DN5603_c0_g1,1
240441,DN5610_c0_g1,1
240442,DN5610_c0_g1,2
240443,DN5610_c0_g1,3
240444,DN5610_c0_g1,4
240445,DN5661_c0_g1,1
240446,DN5661_c0_g1,2
240447,DN5607_c0_g1,1
240448,DN5607_c0_g2,1
240449,DN5630_c0_g1,1
240450,DN5630_c0_g1,2
240451,DN5664_c0_g1,1
240452,DN5668_c0_g1,1
240453,DN5613_c0_g1,1
240454,DN5613_c0_g2,1
240455,DN5644_c0_g1,1
240456,DN5644_c0_g1,2
240457,DN5644_c0_g1,3
240458,DN5614_c0_g1,1
240459,DN5651_c0_g1,1
240460,DN5669_c0_g1,1
240461,DN5669_c0_g1,2
240462,DN5669_c0_g1,3
240463,DN5669_c0_g1,4
240464,DN5673_c0_g1,1
240465,DN5692_c0_g1,1
240466,DN5692_c0_g1,2
240467,DN5692_c0_g2,1
240468,DN5612_c0_g1,1
240469,DN5612_c0_g1,2
240470,DN5612_c0_g1,3
240471,DN5654_c0_g1,1
240472,DN5654_c0_g2,1
240473,DN5665_c0_g1,1
240474,DN5621_c0_g1,1
240475,DN5600_c0_g1,1
240476,DN5600_c0_g1,2
240477,DN5600_c0_g1,3
240478,DN5670_c0_g1,1
240479,DN5670_c0_g2,1
240480,DN5643_c0_g1,1
240481,DN5643_c0_g1,2
240482,DN5643_c0_g1,3
240483,DN5672_c0_g1,1
240484,DN5695_c0_g1,1
240485,DN5647_c0_g1,1
240486,DN5690_c0_g1,1
240487,DN5650_c0_g1,1
240488,DN5650_c0_g1,2
240489,DN5685_c0_g1,1
240490,DN5634_c0_g1,1
240491,DN5634_c0_g2,1
240492,DN5649_c0_g1,1
240493,DN5649_c0_g1,2
240494,DN5604_c0_g1,1
240495,DN5604_c0_g2,1
240496,DN5604_c0_g2,2
240497,DN5617_c0_g1,1
240498,DN5617_c0_g2,1
240499,DN5618_c0_g1,1
240500,DN5648_c0_g1,1
240501,DN5677_c0_g1,1
240502,DN5677_c0_g2,1
240503,DN5677_c0_g3,1
240504,DN5641_c0_g1,1
240505,DN5641_c0_g2,1
240506,DN5632_c0_g1,1
240507,DN5632_c0_g2,1
240508,DN5632_c0_g2,2
240509,DN5696_c0_g1,1
240510,DN5640_c0_g1,1
240511,DN5640_c0_g2,1
240512,DN5640_c0_g3,1
240513,DN5624_c0_g1,1
240514,DN5660_c0_g1,1
240515,DN5660_c0_g2,1
240516,DN5660_c0_g2,2
240517,DN5657_c0_g1,1
240518,DN5671_c0_g1,1
240519,DN5671_c0_g1,2
240520,DN5671_c0_g1,3
240521,DN5671_c0_g1,4
240522,DN5619_c0_g1,1
240523,DN5619_c0_g1,2
240524,DN5619_c0_g1,3
240525,DN5601_c0_g1,1
240526,DN5601_c0_g1,2
240527,DN5683_c0_g1,1
240528,DN5682_c0_g1,1
240529,DN5682_c0_g2,1
240530,DN5682_c0_g3,1
240531,DN5646_c0_g1,1
240532,DN5646_c0_g1,2
240533,DN5658_c0_g1,1
240534,DN5678_c0_g1,1
240535,DN5642_c0_g1,1
240536,DN5606_c0_g1,1
240537,DN5606_c0_g1,2
240538,DN5606_c0_g1,3
240539,DN5663_c0_g1,1
240540,DN5663_c0_g1,2
240541,DN5638_c0_g1,1
240542,DN5638_c0_g1,2
240543,DN5662_c0_g1,1
240544,DN5662_c0_g2,1
240545,DN5681_c0_g1,1
240546,DN5681_c0_g1,2
240547,DN5622_c0_g1,1
240548,DN5622_c1_g1,1
240549,DN5652_c0_g1,1
240550,DN5652_c0_g2,1
240551,DN5652_c0_g3,1
240552,DN5698_c0_g1,1
240553,DN5698_c0_g1,2
240554,DN5637_c0_g1,1
240555,DN5637_c0_g1,2
240556,DN5687_c0_g1,1
240557,DN5687_c0_g2,1
240558,DN5616_c0_g1,1
240559,DN5639_c0_g1,1
240560,DN5639_c0_g1,2
240561,DN5684_c0_g1,1
240562,DN5667_c0_g1,1
240563,DN5667_c0_g1,2
240564,DN5699_c0_g1,1
240565,DN5605_c0_g1,1
240566,DN5605_c0_g2,1
240567,DN5635_c0_g1,1
240568,DN5686_c0_g1,1
240569,DN5686_c0_g1,2
240570,DN5686_c0_g1,3
240571,DN5686_c0_g1,4
240572,DN5688_c0_g1,1
240573,DN5611_c0_g1,1
240574,DN5689_c0_g1,1
240575,DN5689_c0_g1,2
240576,DN5689_c0_g1,3
240577,DN5689_c0_g1,4
240578,DN5629_c0_g1,1
240579,DN5628_c0_g1,1
240580,DN5628_c0_g2,1
240581,DN5628_c0_g2,2
240582,DN5631_c0_g1,1
240583,DN5631_c0_g1,2
240584,DN5675_c0_g1,1
240585,DN5675_c0_g1,2
240586,DN5694_c0_g1,1
240587,DN5694_c0_g2,1
240588,DN5602_c0_g1,1
240589,DN5602_c0_g2,1
240590,DN5615_c0_g1,1
240591,DN5615_c0_g1,2
240592,DN5609_c0_g1,1
240593,DN5609_c0_g1,2
240594,DN5609_c0_g1,3
240595,DN12406_c0_g1,1
240596,DN12463_c0_g1,1
240597,DN12483_c0_g1,1
240598,DN12481_c0_g1,1
240599,DN12498_c0_g1,1
240600,DN12464_c0_g1,1
240601,DN12423_c0_g1,1
240602,DN12421_c0_g1,1
240603,DN12412_c0_g1,1
240604,DN12449_c0_g1,1
240605,DN12484_c0_g1,1
240606,DN12443_c0_g1,1
240607,DN12440_c0_g1,1
240608,DN12496_c0_g1,1
240609,DN12425_c0_g1,1
240610,DN12420_c0_g1,1
240611,DN12422_c0_g1,1
240612,DN12427_c0_g1,1
240613,DN12417_c0_g1,1
240614,DN12455_c0_g1,1
240615,DN12472_c0_g1,1
240616,DN12418_c0_g1,1
240617,DN12403_c0_g1,1
240618,DN12465_c0_g1,1
